btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9866910746091431,0.013308925390856917,0.0,0.0,0.0,0.0,0.0,0.0
0.9734342534876818,0.026565746512318196,0.0,0.0,0.0,0.0,0.0,0.0
0.9601800554016621,0.026563118322121094,0.013256826276216858,0.0,0.0,0.0,0.0,0.0
0.946928479572658,0.02656049065189435,0.02651102977544762,0.0,0.0,0.0,0.0,0.0
0.9469337289812068,0.02655786350148368,0.026508407517309596,0.0,0.0,0.0,0.0,0.0
0.9469363532960783,0.02655655012116117,0.026507096582760497,0.0,0.0,0.0,0.0,0.0
0.9469416011472086,0.02655392375018543,0.026504475102605944,0.0,0.0,0.0,0.0,0.0
0.946946847960445,0.026551297898640296,0.02650185414091471,0.0,0.0,0.0,0.0,0.0
0.9469520937360953,0.02654867256637168,0.026499233697533,0.0,0.0,0.0,0.0,0.0
0.9469573384744674,0.02654604775322557,0.026496613772307085,0.0,0.0,0.0,0.0,0.0
0.9469625821758687,0.026543423459047994,0.026493994365083286,0.0,0.0,0.0,0.0,0.0
0.9469704457843234,0.02653948799051102,0.026490066225165563,0.0,0.0,0.0,0.0,0.0
0.9469756868946432,0.026536864993081638,0.026487448112275155,0.0,0.0,0.0,0.0,0.0
0.9469288926224243,0.026535553688787863,0.026535553688787863,0.0,0.0,0.0,0.0,0.0
0.9468847275062997,0.026532931468946093,0.026582341024754187,0.0,0.0,0.0,0.0,0.0
0.9468899757917099,0.026530309767303986,0.026579714440986116,0.0,0.0,0.0,0.0,0.0
0.9467937950795376,0.02657840134374074,0.02662780357672167,0.0,0.0,0.0,0.0,0.0
0.9467964234550215,0.02657708837622882,0.02662648816874969,0.0,0.0,0.0,0.0,0.0
0.9467549145510225,0.02657315025190161,0.026671935197075964,0.0,0.0,0.0,0.0,0.0
0.9468095614381667,0.02657052548399842,0.026619913077834848,0.0,0.0,0.0,0.0,0.0
0.9463236383388475,0.027060392079403486,0.026615969581749048,0.0,0.0,0.0,0.0,0.0
0.9455883079050017,0.027847726262775884,0.026563965832222387,0.0,0.0,0.0,0.0,0.0
0.9437725230784421,0.029027003011304734,0.027151108258873475,4.936565137976995e-05,0.0,0.0,0.0,0.0
0.9416234887737478,0.029755736491487786,0.028423390081421168,0.00019738465334320256,0.0,0.0,0.0,0.0
0.9396555977697735,0.030690284699264814,0.029456752356046775,0.00019736517491488628,0.0,0.0,0.0,0.0
0.9374475852202654,0.0318681860786345,0.030437570914113758,0.00024665778698633516,0.0,0.0,0.0,0.0
0.9352340551472401,0.03299955605978395,0.031519755339614264,0.000246633453361614,0.0,0.0,0.0,0.0
0.9331196054254007,0.033982737361282364,0.032651048088779284,0.0002466091245376079,0.0,0.0,0.0,0.0
0.9312589378174466,0.034962276246363236,0.03348291335864688,0.0002958725775432714,0.0,0.0,0.0,0.0
0.9292510969777646,0.035990731154168516,0.03441305526795839,0.0003451166001084652,0.0,0.0,0.0,0.0
0.9268497067087297,0.03751170700448563,0.035244245083058116,0.00039434120372652435,0.0,0.0,0.0,0.0
0.9241535656202258,0.03903208318959144,0.036370804790301116,0.00044354639988172096,0.0,0.0,0.0,0.0
0.9210720796176775,0.04049859585160369,0.03788737251810612,0.0005419520126127014,0.0,0.0,0.0,0.0
0.9179843357470076,0.042017634599280825,0.03940692576720359,0.0005911038865080538,0.0,0.0,0.0,0.0
0.9153902979561684,0.043388327998030045,0.04058113765082492,0.0006402363949766067,0.0,0.0,0.0,0.0
0.9120181182610408,0.04500024617202501,0.04224311949190094,0.0007385160750332332,0.0,0.0,0.0,0.0
0.90908195914349,0.04627122815653458,0.0438592173270982,0.0007875953728771843,0.0,0.0,0.0,0.0
0.9058516659284414,0.04798464491362764,0.04532703381071903,0.0008366553472119691,0.0,0.0,0.0,0.0
0.9031734317343173,0.04920049200492005,0.04669126691266913,0.0009348093480934809,0.0,0.0,0.0,0.0
0.9001918441635103,0.0507649171134832,0.048059422499877026,0.0009838162231295194,0.0,0.0,0.0,0.0
0.898057536267519,0.051389230390951564,0.04947135480698303,0.0010818785345463487,0.0,0.0,0.0,0.0
0.8964059196617337,0.05157579035350804,0.05088745759378534,0.0011308323909730075,0.0,0.0,0.0,0.0
0.8949567440031458,0.05185804168305151,0.052005505308690525,0.0011797090051120724,0.0,0.0,0.0,0.0
0.8942298240440382,0.05224614174776369,0.05234444116779711,0.0011795930404010617,0.0,0.0,0.0,0.0
0.8938962060153332,0.05248673088264203,0.052437586003538435,0.0011794770984863377,0.0,0.0,0.0,0.0
