time,population_size,deaths,births,sex_f,sex_m,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB,btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-,[0.0-10.0),[10.0-20.0),[20.0-30.0),[30.0-40.0),[40.0-50.0),[50.0-60.0),[60.0-70.0),[70.0-80.0),[80.0-90.0),[90.0-100.0),[100.0)
1,20002,316,318,10057,9945,20002,0,0,0,20002,0,0,0,0,0,0,0,3827,4026,3923,3923,3928,375,0,0,0,0,0
2,20003,316,317,10062,9941,20003,0,0,0,20003,0,0,0,0,0,0,0,3703,4031,3914,3843,3784,728,0,0,0,0,0
3,20005,316,318,10044,9961,20005,0,0,0,20005,0,0,0,0,0,0,0,3615,3974,3874,3835,3690,1017,0,0,0,0,0
4,20007,316,318,10066,9941,20007,0,0,0,20007,0,0,0,0,0,0,0,3529,3966,3820,3798,3604,1290,0,0,0,0,0
5,20009,316,318,10073,9936,20009,0,0,0,20009,0,0,0,0,0,0,0,3455,3909,3804,3763,3539,1539,0,0,0,0,0
6,20011,316,318,10083,9928,20011,0,0,0,20011,0,0,0,0,0,0,0,3355,3903,3784,3686,3517,1766,0,0,0,0,0
7,20013,316,318,10101,9912,20013,0,0,0,20013,0,0,0,0,0,0,0,3316,3843,3739,3686,3419,2010,0,0,0,0,0
8,20015,316,318,10087,9928,20015,0,0,0,20015,0,0,0,0,0,0,0,3251,3781,3768,3626,3350,2239,0,0,0,0,0
9,20017,316,318,10077,9940,20017,0,0,0,20017,0,0,0,0,0,0,0,3187,3715,3776,3632,3301,2406,0,0,0,0,0
10,20019,316,318,10061,9958,20019,0,0,0,20019,0,0,0,0,0,0,0,3094,3721,3743,3638,3236,2587,0,0,0,0,0
11,20021,316,318,10060,9961,20021,0,0,0,20021,0,0,0,0,0,0,0,3093,3620,3777,3604,3207,2517,203,0,0,0,0
12,20023,316,318,10060,9963,20023,0,0,0,20023,0,0,0,0,0,0,0,3101,3504,3790,3613,3165,2485,365,0,0,0,0
13,20024,317,318,10058,9966,20024,0,0,0,20024,0,0,0,0,0,0,0,3110,3426,3750,3581,3186,2464,507,0,0,0,0
14,20026,316,318,10069,9957,20026,0,0,0,20026,0,0,0,0,0,0,0,3108,3352,3753,3556,3198,2419,640,0,0,0,0
