time,population_size,deaths,births,sex_f,sex_m,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB,btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-,[0.0-10.0),[10.0-20.0),[20.0-30.0),[30.0-40.0),[40.0-50.0),[50.0-60.0),[60.0-70.0),[70.0-80.0),[80.0-90.0),[90.0-100.0),[100.0)
1,20001,342,343,10052,9949,20001,0,0,0,20001,0,0,0,0,0,0,0,3993,3945,3992,3885,3796,390,0,0,0,0,0
2,20002,343,344,10074,9928,20002,0,0,0,20002,0,0,0,0,0,0,0,3915,3913,3961,3820,3678,715,0,0,0,0,0
3,20003,342,343,10075,9928,20003,0,0,0,20003,0,0,0,0,0,0,0,3792,3919,3943,3741,3635,973,0,0,0,0,0
4,20005,342,344,10083,9922,20005,0,0,0,20005,0,0,0,0,0,0,0,3722,3915,3884,3723,3530,1231,0,0,0,0,0
5,20007,342,344,10066,9941,20007,0,0,0,20007,0,0,0,0,0,0,0,3640,3906,3845,3727,3416,1473,0,0,0,0,0
6,20009,342,344,10084,9925,20009,0,0,0,20009,0,0,0,0,0,0,0,3566,3915,3785,3719,3354,1670,0,0,0,0,0
7,20011,342,344,10103,9908,20011,0,0,0,20011,0,0,0,0,0,0,0,3533,3843,3799,3714,3287,1835,0,0,0,0,0
8,20013,342,344,10114,9899,20013,0,0,0,20013,0,0,0,0,0,0,0,3447,3880,3747,3710,3237,1992,0,0,0,0,0
9,20014,343,344,10105,9909,20014,0,0,0,20014,0,0,0,0,0,0,0,3401,3817,3744,3686,3219,2147,0,0,0,0,0
10,20016,342,344,10104,9912,20016,0,0,0,20016,0,0,0,0,0,0,0,3323,3828,3689,3652,3206,2318,0,0,0,0,0
11,20017,343,344,10081,9936,20017,0,0,0,20017,0,0,0,0,0,0,0,3322,3759,3649,3662,3156,2302,167,0,0,0,0
12,20019,342,344,10092,9927,20019,0,0,0,20019,0,0,0,0,0,0,0,3337,3685,3636,3642,3119,2289,311,0,0,0,0
13,20020,343,344,10095,9925,20020,0,0,0,20020,0,0,0,0,0,0,0,3346,3576,3649,3646,3077,2298,428,0,0,0,0
14,20021,343,344,10098,9923,20021,0,0,0,20021,0,0,0,0,0,0,0,3351,3503,3673,3591,3096,2273,534,0,0,0,0
15,20022,343,344,10111,9911,20022,0,0,0,20022,0,0,0,0,0,0,0,3364,3433,3676,3554,3118,2239,638,0,0,0,0
16,20023,343,344,10111,9912,20023,0,0,0,20023,0,0,0,0,0,0,0,3366,3370,3690,3512,3133,2222,730,0,0,0,0
17,20024,343,344,10082,9942,20024,0,0,0,20024,0,0,0,0,0,0,0,3371,3324,3640,3529,3141,2222,797,0,0,0,0
18,20025,343,344,10078,9947,20025,0,0,0,20025,0,0,0,0,0,0,0,3370,3255,3682,3480,3171,2214,853,0,0,0,0
19,20026,343,344,10088,9938,20026,0,0,0,20026,0,0,0,0,0,0,0,3370,3221,3643,3485,3168,2224,915,0,0,0,0
20,20027,343,344,10076,9951,20027,0,0,0,20027,0,0,0,0,0,0,0,3367,3169,3654,3459,3153,2248,977,0,0,0,0
21,20028,343,344,10079,9949,20028,0,0,0,20028,0,0,0,0,0,0,0,3369,3169,3597,3433,3182,2240,994,44,0,0,0
22,20029,343,344,10095,9934,20029,0,0,0,20029,0,0,0,0,0,0,0,3367,3189,3528,3442,3163,2249,1018,73,0,0,0
23,20030,343,344,10090,9940,20030,0,0,0,20030,0,0,0,0,0,0,0,3368,3202,3419,3484,3168,2236,1060,93,0,0,0
24,20031,343,344,10084,9947,20031,0,0,0,20031,0,0,0,0,0,0,0,3364,3214,3355,3500,3151,2256,1074,117,0,0,0
25,20032,343,344,10098,9934,20032,0,0,0,20032,0,0,0,0,0,0,0,3369,3224,3283,3506,3130,2301,1070,149,0,0,0
26,20033,343,344,10106,9927,20033,0,0,0,20033,0,0,0,0,0,0,0,3373,3213,3225,3526,3101,2335,1090,170,0,0,0
27,20034,343,344,10104,9930,20034,0,0,0,20034,0,0,0,0,0,0,0,3371,3233,3187,3476,3107,2364,1108,188,0,0,0
28,20035,343,344,10113,9922,20035,0,0,0,20035,0,0,0,0,0,0,0,3374,3238,3122,3523,3074,2377,1128,199,0,0,0
29,20036,343,344,10125,9911,20036,0,0,0,20036,0,0,0,0,0,0,0,3378,3253,3096,3474,3099,2373,1137,226,0,0,0
30,20037,343,344,10140,9897,20037,0,0,0,20037,0,0,0,0,0,0,0,3372,3253,3056,3483,3085,2393,1156,239,0,0,0
31,20038,343,344,10132,9906,20038,0,0,0,20038,0,0,0,0,0,0,0,3373,3259,3061,3415,3099,2425,1160,242,4,0,0
32,20040,343,345,10153,9887,20040,0,0,0,20040,0,0,0,0,0,0,0,3382,3249,3089,3355,3112,2418,1181,254,0,0,0
33,20041,343,344,10121,9920,20041,0,0,0,20041,0,0,0,0,0,0,0,3381,3249,3109,3256,3158,2438,1181,268,1,0,0
34,20042,343,344,10087,9955,20042,0,0,0,20042,0,0,0,0,0,0,0,3380,3244,3129,3186,3171,2448,1194,286,4,0,0
35,20043,343,344,10081,9962,20043,0,0,0,20043,0,0,0,0,0,0,0,3385,3249,3139,3127,3179,2447,1233,283,1,0,0
36,20044,343,344,10057,9987,20044,0,0,0,20044,0,0,0,0,0,0,0,3380,3262,3125,3091,3209,2438,1246,290,3,0,0
37,20045,343,344,10058,9987,20045,0,0,0,20045,0,0,0,0,0,0,0,3387,3263,3139,3055,3186,2447,1255,308,5,0,0
38,20046,343,344,10088,9958,20046,0,0,0,20046,0,0,0,0,0,0,0,3384,3277,3132,2992,3235,2421,1285,312,8,0,0
39,20047,343,344,10068,9979,20047,0,0,0,20047,0,0,0,0,0,0,0,3387,3281,3146,2977,3176,2453,1296,329,2,0,0
40,20048,343,344,10061,9987,20048,0,0,0,20048,0,0,0,0,0,0,0,3389,3281,3147,2941,3179,2449,1334,322,6,0,0
41,20049,343,344,10052,9997,20049,0,0,0,20049,0,0,0,0,0,0,0,3395,3278,3151,2951,3111,2474,1351,334,4,0,0
42,20050,343,344,10035,10015,20050,0,0,0,20050,0,0,0,0,0,0,0,3397,3288,3149,2978,3046,2483,1353,351,5,0,0
43,20051,343,344,10063,9988,20051,0,0,0,20051,0,0,0,0,0,0,0,3397,3292,3151,3006,2954,2531,1368,348,4,0,0
44,20053,343,345,10047,10006,20053,0,0,0,20053,0,0,0,0,0,0,0,3396,3288,3148,3036,2887,2559,1384,351,4,0,0
45,20054,343,344,10038,10016,20054,0,0,0,20054,0,0,0,0,0,0,0,3398,3291,3153,3048,2846,2564,1384,360,10,0,0
46,20055,343,344,10009,10046,20055,0,0,0,20055,0,0,0,0,0,0,0,3395,3295,3171,3023,2802,2599,1376,385,9,0,0
47,20057,343,345,10011,10046,20057,0,0,0,20057,0,0,0,0,0,0,0,3399,3291,3173,3038,2750,2582,1402,407,15,0,0
48,20059,343,345,10004,10055,20059,0,0,0,20059,0,0,0,0,0,0,0,3398,3292,3189,3032,2715,2618,1392,410,13,0,0
49,20060,343,344,10019,10041,20060,0,0,0,20060,0,0,0,0,0,0,0,3404,3292,3190,3047,2701,2577,1414,425,10,0,0
50,20061,343,344,10027,10034,20061,0,0,0,20061,0,0,0,0,0,0,0,3405,3295,3183,3041,2678,2587,1422,438,12,0,0
51,20063,343,345,10023,10040,20063,0,0,0,20063,0,0,0,0,0,0,0,3402,3307,3177,3048,2688,2541,1451,438,11,0,0
52,20065,343,345,10029,10036,20065,0,0,0,20065,0,0,0,0,0,0,0,3405,3305,3195,3027,2728,2482,1471,445,7,0,0
53,20067,343,345,10033,10034,20067,0,0,0,20067,0,0,0,0,0,0,0,3411,3304,3203,3030,2745,2425,1496,440,13,0,0
54,20069,343,345,10038,10031,20069,0,0,0,20069,0,0,0,0,0,0,0,3419,3304,3199,3032,2773,2357,1522,454,9,0,0
55,20070,344,345,10068,10002,20070,0,0,0,20070,0,0,0,0,0,0,0,3413,3314,3200,3036,2787,2312,1536,462,10,0,0
56,20072,343,345,10091,9981,20072,0,0,0,20072,0,0,0,0,0,0,0,3417,3319,3204,3057,2774,2272,1580,440,9,0,0
57,20074,343,345,10091,9983,20074,0,0,0,20074,0,0,0,0,0,0,0,3413,3320,3208,3059,2799,2242,1552,478,3,0,0
58,20075,344,345,10106,9969,20075,0,0,0,20075,0,0,0,0,0,0,0,3410,3326,3203,3075,2788,2204,1586,475,8,0,0
59,20076,344,345,10127,9949,20076,0,0,0,20076,0,0,0,0,0,0,0,3411,3324,3206,3059,2802,2214,1560,484,16,0,0
60,20077,344,345,10138,9939,20077,0,0,0,20077,0,0,0,0,0,0,0,3411,3326,3208,3055,2782,2208,1574,498,15,0,0
61,20079,343,345,10130,9949,20079,0,0,0,20079,0,0,0,0,0,0,0,3404,3330,3218,3050,2798,2206,1556,502,15,0,0
62,20080,344,345,10143,9937,20080,0,0,0,20080,0,0,0,0,0,0,0,3401,3323,3217,3081,2755,2250,1527,509,17,0,0
63,20081,344,345,10136,9945,20081,0,0,0,20081,0,0,0,0,0,0,0,3408,3333,3214,3087,2765,2257,1483,517,17,0,0
64,20082,344,345,10145,9937,20082,0,0,0,20082,0,0,0,0,0,0,0,3409,3332,3213,3084,2770,2276,1439,548,11,0,0
65,20083,344,345,10132,9951,20083,0,0,0,20083,0,0,0,0,0,0,0,3409,3331,3222,3086,2786,2273,1424,544,8,0,0
66,20084,344,345,10139,9945,20084,0,0,0,20084,0,0,0,0,0,0,0,3406,3329,3226,3080,2797,2290,1392,553,11,0,0
67,20085,344,345,10163,9922,20085,0,0,0,20085,0,0,0,0,0,0,0,3406,3324,3219,3089,2816,2303,1373,536,19,0,0
68,20086,344,345,10186,9900,20086,0,0,0,20086,0,0,0,0,0,0,0,3407,3311,3236,3084,2821,2287,1370,558,12,0,0
69,20087,344,345,10193,9894,20087,0,0,0,20087,0,0,0,0,0,0,0,3403,3314,3243,3089,2802,2292,1369,560,15,0,0
70,20088,344,345,10204,9884,20088,0,0,0,20088,0,0,0,0,0,0,0,3408,3308,3242,3096,2805,2284,1380,551,14,0,0
71,20089,344,345,10196,9893,20089,0,0,0,20089,0,0,0,0,0,0,0,3408,3310,3236,3110,2794,2300,1378,544,9,0,0
72,20090,344,345,10186,9904,20090,0,0,0,20090,0,0,0,0,0,0,0,3412,3318,3228,3116,2826,2253,1375,547,15,0,0
73,20091,344,345,10200,9891,20091,0,0,0,20091,0,0,0,0,0,0,0,3414,3322,3234,3111,2834,2238,1385,539,14,0,0
74,20092,344,345,10175,9917,20092,0,0,0,20092,0,0,0,0,0,0,0,3414,3329,3245,3110,2827,2264,1381,508,14,0,0
75,20093,344,345,10165,9928,20093,0,0,0,20093,0,0,0,0,0,0,0,3410,3332,3240,3115,2829,2268,1380,505,14,0,0
76,20094,344,345,10156,9938,20094,0,0,0,20094,0,0,0,0,0,0,0,3411,3336,3231,3117,2829,2285,1370,499,16,0,0
77,20095,344,345,10188,9907,20095,0,0,0,20095,0,0,0,0,0,0,0,3406,3347,3221,3108,2847,2305,1353,495,13,0,0
78,20096,344,345,10194,9902,20096,0,0,0,20096,0,0,0,0,0,0,0,3407,3336,3223,3130,2832,2325,1364,466,13,0,0
79,20097,344,345,10173,9924,20097,0,0,0,20097,0,0,0,0,0,0,0,3408,3330,3229,3132,2843,2320,1348,471,16,0,0
80,20098,344,345,10165,9933,20098,0,0,0,20098,0,0,0,0,0,0,0,3410,3331,3228,3128,2849,2309,1352,478,13,0,0
81,20099,344,345,10141,9958,20099,0,0,0,20099,0,0,0,0,0,0,0,3408,3335,3224,3127,2852,2290,1386,467,10,0,0
82,20101,344,346,10128,9973,20101,0,0,0,20101,0,0,0,0,0,0,0,3413,3332,3222,3127,2842,2328,1368,454,15,0,0
83,20102,344,345,10131,9971,20102,0,0,0,20102,0,0,0,0,0,0,0,3408,3332,3230,3136,2838,2329,1353,462,14,0,0
84,20103,344,345,10125,9978,20103,0,0,0,20103,0,0,0,0,0,0,0,3412,3324,3234,3143,2838,2333,1342,468,9,0,0
85,20104,344,345,10099,10005,20104,0,0,0,20104,0,0,0,0,0,0,0,3411,3320,3239,3137,2862,2316,1355,454,10,0,0
86,20105,344,345,10101,10004,20105,0,0,0,20105,0,0,0,0,0,0,0,3406,3319,3239,3138,2875,2315,1360,447,6,0,0
