btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.986739894117065,0.013260105882935035,0.0,0.0,0.0,0.0,0.0,0.0
0.9734824123089101,0.026517587691089892,0.0,0.0,0.0,0.0,0.0,0.0
0.9602770220133564,0.026465495918872126,0.013257482067771456,0.0,0.0,0.0,0.0,0.0
0.9470247811247959,0.026462877776129,0.026512341099075035,0.0,0.0,0.0,0.0,0.0
0.9470274013255515,0.02646156889900089,0.02651102977544762,0.0,0.0,0.0,0.0,0.0
0.9470352603728797,0.026457643044359824,0.026507096582760497,0.0,0.0,0.0,0.0,0.0
0.9470404984423676,0.026455026455026454,0.026504475102605944,0.0,0.0,0.0,0.0,0.0
0.9470951792336217,0.026402966625463535,0.02650185414091471,0.0,0.0,0.0,0.0,0.0
0.9471004103426114,0.02640035595985564,0.026499233697533,0.0,0.0,0.0,0.0,0.0
0.9470562064363043,0.02639774581047012,0.02654604775322557,0.0,0.0,0.0,0.0,0.0
0.9470588235294117,0.0263964409293129,0.026544735541275333,0.0,0.0,0.0,0.0,0.0
0.9469652036378015,0.02649268485567418,0.02654211150652432,0.0,0.0,0.0,0.0,0.0
0.9469210240189779,0.026490066225165563,0.02658890975585648,0.0,0.0,0.0,0.0,0.0
0.9468274362522238,0.02658628187388812,0.02658628187388812,0.0,0.0,0.0,0.0,0.0
0.9467832789801364,0.026633066508548277,0.026583654511315346,0.0,0.0,0.0,0.0,0.0
0.9467885375494071,0.0266798418972332,0.026531620553359683,0.0,0.0,0.0,0.0,0.0
0.9466949906135758,0.02677601027566446,0.026528999110759805,0.0,0.0,0.0,0.0,0.0
0.9466040997777229,0.02682143739194863,0.026574462830328476,0.0,0.0,0.0,0.0,0.0
0.9465132358751481,0.026817463453180562,0.026669300671671278,0.0,0.0,0.0,0.0,0.0
0.9464197530864198,0.02691358024691358,0.02666666666666667,0.0,0.0,0.0,0.0,0.0
0.945687058707352,0.027502098454549942,0.02681084283809806,0.0,0.0,0.0,0.0,0.0
0.9448531226857566,0.028239940755369043,0.026906936558874352,0.0,0.0,0.0,0.0,0.0
0.9438712543812016,0.028928271708545193,0.027200473910253247,0.0,0.0,0.0,0.0,0.0
0.9419080993040817,0.029909678693055625,0.028132866097428558,4.935590543408519e-05,0.0,0.0,0.0,0.0
0.9399023042384171,0.030986332461637144,0.02896333941875956,0.0001480238811861647,0.0,0.0,0.0,0.0
0.9378422376794435,0.03226283853781264,0.029697597553154754,0.00019732622958906814,0.0,0.0,0.0,0.0
0.9357273220539634,0.03295022936911163,0.031125141814235684,0.00019730676268929118,0.0,0.0,0.0,0.0
0.9335864313184105,0.03387239917167932,0.03209742628932058,0.00029582881372645697,0.00014791440686322849,0.0,0.0,0.0
0.9311024592183726,0.03499088265733576,0.03321669705780888,0.00039426346656152976,0.0002956975999211473,0.0,0.0,0.0
0.9286031042128603,0.03646218280364622,0.03414634146341464,0.0003941857600394186,0.0003941857600394186,0.0,0.0,0.0
0.9260736800630418,0.037677304964539006,0.035214736012608355,0.0004925137903861308,0.0005417651694247439,0.0,0.0,0.0
0.9239178608361649,0.03875510907568819,0.03624365982173635,0.0004924410301866351,0.0005909292362239622,0.0,0.0,0.0
0.9207482156042334,0.040118139305931576,0.03785380260890967,0.0005906965296578882,0.0006891459512675363,0.0,0.0,0.0
0.9177327297776028,0.04157646132651053,0.03916551859870104,0.0006888407793741389,0.0008364495178114545,0.0,0.0,0.0
0.9142730670863664,0.042888058233326774,0.04106826677159158,0.0007377532952980524,0.0010328546134172733,0.0,0.0,0.0
0.9108161258603736,0.0443952802359882,0.04277286135693215,0.0007866273352999017,0.0012291052114060963,0.0,0.0,0.0
0.9075584824061332,0.04595046196186357,0.04427953607234126,0.0008846078238647533,0.0013269117357971299,0.0,0.0,0.0
0.9045233534698689,0.04685428024163843,0.0460684642208143,0.0010804970286331713,0.0014734050390452335,0.0,0.0,0.0
0.9019935186094471,0.047972110380045174,0.04733379161347344,0.0010802317588137092,0.0016203476382205637,0.0,0.0,0.0
0.8989006674519042,0.04927365528072242,0.048831959167648216,0.001177856301531213,0.0018158617981939536,0.0,0.0,0.0
0.8964096527369041,0.049931332156170294,0.05022562291544046,0.0012262114969589955,0.0022071806945261918,0.0,0.0,0.0
0.8940686274509804,0.05019607843137255,0.05186274509803922,0.0012745098039215687,0.0025980392156862743,0.0,0.0,0.0
0.8929778997402852,0.050472876953986376,0.05243298868035478,0.001274072622139462,0.0028421620032341843,0.0,0.0,0.0
0.8924704844951746,0.05070298339293587,0.05251555381374614,0.0012736981335423505,0.0030372801646009894,0.0,0.0,0.0
