time,population_size,deaths,births,sex_f,sex_m,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB,btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-,[0.0-10.0),[10.0-20.0),[20.0-30.0),[30.0-40.0),[40.0-50.0),[50.0-60.0),[60.0-70.0),[70.0-80.0),[80.0-90.0),[90.0-100.0),[100.0)
1,19999,285,284,9963,10036,19999,0,0,0,19999,0,0,0,0,0,0,0,3847,4095,3910,3965,3851,331,0,0,0,0,0
2,19998,285,284,9987,10011,19998,0,0,0,19998,0,0,0,0,0,0,0,3705,4109,3836,3938,3743,667,0,0,0,0,0
3,19997,285,284,9971,10026,19997,0,0,0,19997,0,0,0,0,0,0,0,3520,4116,3825,3942,3614,980,0,0,0,0,0
4,19996,285,284,9983,10013,19996,0,0,0,19996,0,0,0,0,0,0,0,3372,4102,3799,3906,3545,1272,0,0,0,0,0
5,19995,285,284,9978,10017,19995,0,0,0,19995,0,0,0,0,0,0,0,3265,4012,3835,3890,3416,1577,0,0,0,0,0
6,19994,285,284,9975,10019,19994,0,0,0,19994,0,0,0,0,0,0,0,3150,4016,3795,3881,3370,1782,0,0,0,0,0
7,19993,285,284,10001,9992,19993,0,0,0,19993,0,0,0,0,0,0,0,3048,3943,3790,3869,3348,1995,0,0,0,0,0
8,19992,285,284,10012,9980,19992,0,0,0,19992,0,0,0,0,0,0,0,2960,3878,3780,3850,3351,2173,0,0,0,0,0
9,19991,285,284,10028,9963,19991,0,0,0,19991,0,0,0,0,0,0,0,2841,3836,3820,3796,3323,2375,0,0,0,0,0
10,19990,285,284,10025,9965,19990,0,0,0,19990,0,0,0,0,0,0,0,2759,3773,3863,3719,3298,2578,0,0,0,0,0
11,19989,285,284,10008,9981,19989,0,0,0,19989,0,0,0,0,0,0,0,2768,3658,3902,3618,3327,2526,190,0,0,0,0
12,19988,285,284,9990,9998,19988,0,0,0,19988,0,0,0,0,0,0,0,2770,3529,3919,3570,3330,2525,345,0,0,0,0
13,19987,285,284,9987,10000,19987,0,0,0,19987,0,0,0,0,0,0,0,2778,3335,3933,3577,3369,2473,522,0,0,0,0
14,19986,285,284,9975,10011,19986,0,0,0,19986,0,0,0,0,0,0,0,2782,3199,3926,3571,3368,2479,661,0,0,0,0
15,19985,285,284,9973,10012,19985,0,0,0,19985,0,0,0,0,0,0,0,2790,3109,3853,3612,3359,2436,826,0,0,0,0
16,19984,285,284,9961,10023,19984,0,0,0,19984,0,0,0,0,0,0,0,2793,2995,3863,3603,3363,2436,931,0,0,0,0
17,19983,285,284,9968,10015,19983,0,0,0,19983,0,0,0,0,0,0,0,2795,2921,3797,3609,3390,2459,1012,0,0,0,0
18,19982,285,284,9972,10010,19982,0,0,0,19982,0,0,0,0,0,0,0,2797,2840,3737,3608,3395,2506,1099,0,0,0,0
19,19981,285,284,9971,10010,19981,0,0,0,19981,0,0,0,0,0,0,0,2800,2728,3694,3650,3392,2507,1210,0,0,0,0
20,19980,285,284,9955,10025,19980,0,0,0,19980,0,0,0,0,0,0,0,2803,2657,3647,3694,3344,2507,1328,0,0,0,0
21,19979,285,284,9948,10031,19979,0,0,0,19979,0,0,0,0,0,0,0,2802,2666,3541,3741,3290,2552,1327,60,0,0,0
22,19978,285,284,9955,10023,19978,0,0,0,19978,0,0,0,0,0,0,0,2810,2672,3408,3761,3243,2604,1370,110,0,0,0
23,19977,285,284,9952,10025,19977,0,0,0,19977,0,0,0,0,0,0,0,2806,2695,3230,3780,3262,2659,1374,171,0,0,0
24,19976,285,284,9944,10032,19976,0,0,0,19976,0,0,0,0,0,0,0,2808,2708,3103,3771,3263,2683,1410,230,0,0,0
25,19975,285,284,9925,10050,19975,0,0,0,19975,0,0,0,0,0,0,0,2811,2714,3024,3707,3306,2708,1414,291,0,0,0
26,19974,285,284,9925,10049,19974,0,0,0,19974,0,0,0,0,0,0,0,2810,2723,2918,3724,3301,2732,1425,341,0,0,0
27,19973,285,284,9923,10050,19973,0,0,0,19973,0,0,0,0,0,0,0,2812,2724,2841,3667,3311,2791,1459,368,0,0,0
28,19972,285,284,9930,10042,19972,0,0,0,19972,0,0,0,0,0,0,0,2803,2734,2766,3610,3319,2812,1526,402,0,0,0
29,19970,285,283,9930,10040,19970,0,0,0,19970,0,0,0,0,0,0,0,2799,2741,2653,3581,3370,2833,1552,441,0,0,0
30,19968,285,283,9924,10044,19968,0,0,0,19968,0,0,0,0,0,0,0,2803,2738,2589,3532,3410,2813,1606,477,0,0,0
31,19966,285,283,9934,10032,19966,0,0,0,19966,0,0,0,0,0,0,0,2801,2734,2602,3426,3455,2774,1661,503,10,0,0
32,19964,285,283,9950,10014,19964,0,0,0,19964,0,0,0,0,0,0,0,2802,2739,2611,3302,3494,2752,1722,531,11,0,0
33,19963,284,283,9951,10012,19963,0,0,0,19963,0,0,0,0,0,0,0,2800,2739,2631,3126,3514,2800,1777,559,17,0,0
34,19962,284,283,9942,10020,19962,0,0,0,19962,0,0,0,0,0,0,0,2801,2747,2643,3008,3523,2827,1810,582,21,0,0
35,19961,285,284,9932,10029,19961,0,0,0,19961,0,0,0,0,0,0,0,2799,2751,2658,2927,3477,2876,1841,608,24,0,0
36,19960,285,284,9932,10028,19960,0,0,0,19960,0,0,0,0,0,0,0,2804,2748,2664,2840,3495,2882,1878,621,28,0,0
37,19959,285,284,9925,10034,19959,0,0,0,19959,0,0,0,0,0,0,0,2810,2750,2668,2769,3449,2893,1929,661,30,0,0
38,19958,284,283,9940,10018,19958,0,0,0,19958,0,0,0,0,0,0,0,2809,2753,2681,2697,3406,2892,1966,716,38,0,0
39,19957,284,283,9931,10026,19957,0,0,0,19957,0,0,0,0,0,0,0,2814,2748,2690,2590,3384,2937,2010,750,34,0,0
40,19956,284,283,9932,10024,19956,0,0,0,19956,0,0,0,0,0,0,0,2812,2755,2686,2530,3343,2992,2019,775,44,0,0
41,19954,285,283,9916,10038,19954,0,0,0,19954,0,0,0,0,0,0,0,2812,2759,2682,2546,3249,3032,2007,816,51,0,0
42,19953,284,283,9915,10038,19953,0,0,0,19953,0,0,0,0,0,0,0,2812,2760,2692,2553,3131,3077,2012,865,51,0,0
43,19951,285,283,9926,10025,19951,0,0,0,19951,0,0,0,0,0,0,0,2810,2762,2700,2571,2970,3106,2086,886,60,0,0
44,19949,285,283,9929,10020,19949,0,0,0,19949,0,0,0,0,0,0,0,2814,2756,2707,2585,2857,3126,2123,921,60,0,0
45,19948,284,283,9937,10011,19948,0,0,0,19948,0,0,0,0,0,0,0,2813,2756,2716,2592,2794,3085,2160,962,70,0,0
46,19947,284,283,9927,10020,19947,0,0,0,19947,0,0,0,0,0,0,0,2816,2761,2715,2600,2709,3113,2161,997,75,0,0
47,19945,285,283,9926,10019,19945,0,0,0,19945,0,0,0,0,0,0,0,2816,2760,2717,2615,2639,3083,2198,1037,80,0,0
48,19944,284,283,9915,10029,19944,0,0,0,19944,0,0,0,0,0,0,0,2815,2758,2717,2625,2583,3049,2214,1085,98,0,0
49,19942,285,283,9912,10030,19942,0,0,0,19942,0,0,0,0,0,0,0,2815,2764,2718,2637,2479,3027,2276,1119,107,0,0
50,19940,285,283,9908,10032,19940,0,0,0,19940,0,0,0,0,0,0,0,2814,2769,2718,2634,2426,3014,2304,1150,111,0,0
51,19938,285,283,9885,10053,19938,0,0,0,19938,0,0,0,0,0,0,0,2812,2776,2721,2629,2451,2921,2349,1160,119,0,0
52,19937,284,283,9878,10059,19937,0,0,0,19937,0,0,0,0,0,0,0,2814,2776,2722,2641,2460,2833,2391,1179,121,0,0
53,19936,284,283,9877,10059,19936,0,0,0,19936,0,0,0,0,0,0,0,2814,2776,2731,2645,2485,2686,2456,1222,121,0,0
54,19935,284,283,9871,10064,19935,0,0,0,19935,0,0,0,0,0,0,0,2813,2784,2730,2651,2493,2608,2472,1272,112,0,0
55,19934,284,283,9867,10067,19934,0,0,0,19934,0,0,0,0,0,0,0,2812,2783,2727,2666,2494,2553,2443,1326,130,0,0
56,19933,284,283,9861,10072,19933,0,0,0,19933,0,0,0,0,0,0,0,2814,2785,2725,2668,2505,2488,2468,1345,135,0,0
57,19932,284,283,9862,10070,19932,0,0,0,19932,0,0,0,0,0,0,0,2815,2791,2726,2674,2518,2413,2466,1371,158,0,0
58,19931,284,283,9863,10068,19931,0,0,0,19931,0,0,0,0,0,0,0,2817,2792,2729,2682,2529,2383,2438,1395,166,0,0
59,19930,284,283,9858,10072,19930,0,0,0,19930,0,0,0,0,0,0,0,2817,2791,2733,2683,2538,2299,2446,1433,190,0,0
60,19929,284,283,9844,10085,19929,0,0,0,19929,0,0,0,0,0,0,0,2819,2786,2738,2686,2540,2253,2449,1460,198,0,0
61,19928,284,283,9843,10085,19928,0,0,0,19928,0,0,0,0,0,0,0,2818,2783,2748,2686,2535,2284,2395,1495,184,0,0
62,19927,284,283,9838,10089,19927,0,0,0,19927,0,0,0,0,0,0,0,2814,2781,2748,2683,2554,2294,2310,1541,202,0,0
63,19926,284,283,9836,10090,19926,0,0,0,19926,0,0,0,0,0,0,0,2813,2785,2746,2697,2558,2314,2205,1597,211,0,0
64,19925,284,283,9827,10098,19925,0,0,0,19925,0,0,0,0,0,0,0,2814,2780,2756,2698,2569,2324,2140,1617,227,0,0
65,19924,284,283,9835,10089,19924,0,0,0,19924,0,0,0,0,0,0,0,2819,2780,2757,2697,2586,2326,2109,1604,246,0,0
66,19923,284,283,9846,10077,19923,0,0,0,19923,0,0,0,0,0,0,0,2820,2784,2756,2697,2593,2338,2056,1622,257,0,0
