btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9867405501682169,0.013259449831783099,0.0,0.0,0.0,0.0,0.0,0.0
0.9734837241515781,0.026516275848421887,0.0,0.0,0.0,0.0,0.0,0.0
0.9601345335839351,0.02656049065189435,0.01325551488772381,4.946087644673064e-05,0.0,0.0,0.0,0.0
0.9468842729970326,0.02655786350148368,0.026508407517309596,4.945598417408506e-05,0.0,0.0,0.0,0.0
0.9468895262585303,0.026555236870734845,0.026505785777865692,4.945109286915241e-05,0.0,0.0,0.0,0.0
0.9468921524996291,0.02655392375018543,0.026504475102605944,4.94486475794887e-05,0.0,0.0,0.0,0.0
0.9468974042027194,0.026551297898640296,0.02650185414091471,4.9443757725587144e-05,0.0,0.0,0.0,0.0
0.9469000296647879,0.026549985167606052,0.026500543854444773,4.9441313161277566e-05,0.0,0.0,0.0,0.0
0.9469079044935489,0.026496613772307085,0.026496613772307085,4.943398091848337e-05,4.943398091848337e-05,0.0,0.0,0.0
0.946913153081904,0.026493994365083286,0.026493994365083286,4.942909396470763e-05,4.942909396470763e-05,0.0,0.0,0.0
0.9469210240189779,0.026490066225165563,0.026490066225165563,4.942176534545814e-05,4.942176534545814e-05,0.0,0.0,0.0
0.9469262700138368,0.026487448112275155,0.026487448112275155,4.94168808064835e-05,4.94168808064835e-05,0.0,0.0,0.0
0.9469288926224243,0.026486139249888817,0.026486139249888817,4.94144388990463e-05,4.94144388990463e-05,0.0,0.0,0.0
0.9468821029746022,0.02653424251408242,0.02648483051684949,4.941199723292816e-05,4.941199723292816e-05,0.0,0.0,0.0
0.9468873517786561,0.026531620553359683,0.026482213438735178,4.940711462450593e-05,4.940711462450593e-05,0.0,0.0,0.0
0.9467964234550215,0.02662648816874969,0.026478288791187077,4.939979252087141e-05,4.939979252087141e-05,0.0,0.0,0.0
0.9467055220784353,0.026721327669663144,0.026474365306727254,4.9392472587177715e-05,4.9392472587177715e-05,0.0,0.0,0.0
0.946612011062821,0.026817463453180562,0.026471750296325564,4.938759383642829e-05,4.938759383642829e-05,0.0,0.0,0.0
0.9465705397264332,0.02681349069181769,0.02651720902671473,4.938027751715965e-05,4.938027751715965e-05,0.0,0.0,0.0
0.9465784536387875,0.026809519107336824,0.026513281327145255,4.937296336526118e-05,4.937296336526118e-05,0.0,0.0,0.0
0.9458432069510269,0.027399289099526065,0.02665876777251185,4.936808846761453e-05,4.936808846761453e-05,0.0,0.0,0.0
0.9448612893671636,0.028383848356204958,0.026656135847566393,4.936321453253036e-05,4.936321453253036e-05,0.0,0.0,0.0
0.9433366238894373,0.02936821322803554,0.0271964461994077,4.935834155972359e-05,4.935834155972359e-05,0.0,0.0,0.0
0.9406135937654139,0.030679688270691525,0.028312123902535267,0.0003452698036894545,4.9324257669922065e-05,0.0,0.0,0.0
0.938498717695798,0.031909646873150524,0.029197080291970802,0.0003452357466956007,4.9319392385085815e-05,0.0,0.0,0.0
0.9364891518737672,0.03284023668639053,0.030226824457593688,0.0003944773175542406,4.930966469428008e-05,0.0,0.0,0.0
0.9341450189776704,0.033617587617686205,0.03164588159905358,0.0004929265046581555,9.858530093163109e-05,0.0,0.0,0.0
0.931510224193151,0.034540527223454055,0.03311160384331116,0.0005420054200542005,0.00029563932002956393,0.0,0.0,0.0
0.9289162561576355,0.03576354679802956,0.03433497536945813,0.000541871921182266,0.0004433497536945813,0.0,0.0,0.0
0.9269673987983847,0.036787156505466365,0.035112774549394266,0.0005909583374372107,0.0005417118093174431,0.0,0.0,0.0
0.9242886679137541,0.038052574579108,0.03628039775524269,0.0006399527419513636,0.0007384070099438811,0.0,0.0,0.0
0.9216805234417278,0.039356520883553896,0.03709352093274954,0.0006887391154621931,0.0011806956265066168,0.0,0.0,0.0
0.9186332350049164,0.040609636184857426,0.03844641101278269,0.0007866273352999017,0.0015240904621435594,0.0,0.0,0.0
0.9151068533529845,0.04220093343158929,0.03984279046917219,0.0008843036109064112,0.0019651191353475803,0.0,0.0,0.0
0.9122195493151357,0.04330109480092297,0.041042761058471204,0.0008836958122637341,0.002552899013206343,0.0,0.0,0.0
0.9087564385577631,0.04473877851361295,0.0424822173166544,0.0009811135638950208,0.0030414520480745648,0.0,0.0,0.0
0.9053570553349998,0.0458756065284517,0.04401313532323678,0.0010292604028819291,0.0037249424104298387,0.0,0.0,0.0
0.9021249510379945,0.047150411280846065,0.04504504504504504,0.001028202115158637,0.004651390520955739,0.0,0.0,0.0
0.8983465414343019,0.04877213579884551,0.046472947852460623,0.0010762156344780354,0.005332159279913902,0.0,0.0,0.0
