btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.984134853743183,0.015865146256817054,0.0,0.0,0.0,0.0,0.0,0.0
0.9682712805512865,0.0317287194487135,0.0,0.0,0.0,0.0,0.0,0.0
0.9524092801903629,0.03172714653975808,0.01586357326987904,0.0,0.0,0.0,0.0,0.0
0.9365488524265106,0.031725573786744656,0.031725573786744656,0.0,0.0,0.0,0.0,0.0
0.9365519976207,0.03172400118965005,0.03172400118965005,0.0,0.0,0.0,0.0,0.0
0.9365551425030979,0.031722428748451055,0.031722428748451055,0.0,0.0,0.0,0.0,0.0
0.936558287073751,0.0317208564631245,0.0317208564631245,0.0,0.0,0.0,0.0,0.0
0.9365614313327055,0.03171928433364722,0.03171928433364722,0.0,0.0,0.0,0.0,0.0
0.9366141342055704,0.031717712359996035,0.03166815343443354,0.0,0.0,0.0,0.0,0.0
0.9366172753853016,0.031716140542147775,0.03166658407255067,0.0,0.0,0.0,0.0,0.0
0.9366235568108617,0.031712997373767406,0.031663445815370894,0.0,0.0,0.0,0.0,0.0
0.9366266970567833,0.03171142602318898,0.03166187692002775,0.0,0.0,0.0,0.0,0.0
0.9365802903433583,0.03175940147649012,0.031660308180151614,0.0,0.0,0.0,0.0,0.0
0.9365834324217202,0.031757827982560445,0.03165873959571938,0.0,0.0,0.0,0.0,0.0
0.9365897156445061,0.03175468146239968,0.03165560289309422,0.0,0.0,0.0,0.0,0.0
0.9366423936196562,0.03170357160548868,0.03165403477485511,0.0,0.0,0.0,0.0,0.0
0.9365959976223499,0.031702001188825046,0.031702001188825046,0.0,0.0,0.0,0.0,0.0
0.9365032194155523,0.03174839029222387,0.03174839029222387,0.0,0.0,0.0,0.0,0.0
0.9365095087163233,0.03174524564183835,0.03174524564183835,0.0,0.0,0.0,0.0,0.0
0.936367237793404,0.03179162127364564,0.03184114093295038,0.0,0.0,0.0,0.0,0.0
0.9357793622499505,0.03238265002970885,0.03183798772034066,0.0,0.0,0.0,0.0,0.0
0.9346469947519557,0.033468660263392416,0.031884344984651945,0.0,0.0,0.0,0.0,0.0
0.9325314325314326,0.0350955350955351,0.03232353232353232,4.95000495000495e-05,0.0,0.0,0.0,0.0
0.9298297703879652,0.036322248614410135,0.03369952494061758,0.0001484560570071259,0.0,0.0,0.0,0.0
0.9275183059568574,0.03765090045517514,0.034632891351672274,0.00019790223629527012,0.0,0.0,0.0,0.0
0.9250667721832031,0.03867840538134336,0.035958057176773174,0.0002967652586803838,0.0,0.0,0.0,0.0
0.9227079418455147,0.03990703194540599,0.03703886855899515,0.00034615765008406686,0.0,0.0,0.0,0.0
0.9205399525316456,0.041089794303797465,0.038024129746835444,0.000346123417721519,0.0,0.0,0.0,0.0
0.918421833283892,0.04212399881340848,0.03910807871057055,0.00034608919212894296,0.0,0.0,0.0,0.0
0.9162052600355942,0.043157998813525805,0.04029068617757564,0.0003460549733043306,0.0,0.0,0.0,0.0
0.9128866488783477,0.044569621504101195,0.04200019764798893,0.0005435319695622097,0.0,0.0,0.0,0.0
0.9104743083003952,0.0458498023715415,0.04313241106719368,0.0005434782608695652,0.0,0.0,0.0,0.0
0.9067871962062833,0.04791543173285912,0.04470460383323454,0.0005927682276229994,0.0,0.0,0.0,0.0
0.9029883921956039,0.04993825635959496,0.04648061249691282,0.0005927389478883675,0.0,0.0,0.0,0.0
0.8982180759168764,0.05251986771311516,0.04837356236734291,0.000888494002665482,0.0,0.0,0.0,0.0
0.8942511719713793,0.054132741179373306,0.05062916358253146,0.0009869232667160128,0.0,0.0,0.0,0.0
0.890818491292121,0.05619418816912527,0.051951255612018354,0.0010360649267354089,0.0,0.0,0.0,0.0
0.8876448828606659,0.057657213316892726,0.053563501849568436,0.0011344019728729963,0.0,0.0,0.0,0.0
0.8843953442493588,0.059183270862102975,0.0552870388636812,0.0011343460248569737,0.0,0.0,0.0,0.0
0.8813291919341321,0.060740521619089875,0.05664842478923236,0.001281861657545728,0.0,0.0,0.0,0.0
0.8783024447949527,0.06171135646687697,0.05860607255520505,0.0013801261829652998,0.0,0.0,0.0,0.0
0.8763862191335207,0.062004041598895956,0.06022968110798955,0.0013800581595938687,0.0,0.0,0.0,0.0
0.8753573188762938,0.06200098570724495,0.06126170527353376,0.0013799901429275504,0.0,0.0,0.0,0.0
0.8747289572245219,0.06253696037847428,0.06135422826729746,0.0013798541297062883,0.0,0.0,0.0,0.0
0.8745872961119598,0.06268171290592815,0.0613512048489627,0.0013797861331493618,0.0,0.0,0.0,0.0
